Collection Number,Passed Inspection,Note,Title,URL Title,Publisher,Article Text,Article Image,AMP Image Version,Image Description,Browse Link
1320,false,1320.php has been marked for review (Null partner) (Null browse link),International Harp Archives,InternationalHarpArchives,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%The International Harp Archives were formally established at Brigham Young University (BYU) in 1994. The Archives serve as a support center for research dealing with aspects of the harp%comma% its music and harpists.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/MusciScores/id/214" target="_blank">Andantino pour harpe ou piano-forte<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:18px"> This collection is no longer available in the Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/search/collection/MusciScores">http://contentdm.lib.byu.edu/cdm/search/collection/MusciScores</a></p>,<img src="../images/collection_images/collection1320.jpg" alt="Andantino pour harpe ou piano-forte" width="335" height="337" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1320.jpg" alt="Andantino pour harpe ou piano-forte" width="335" height="337" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/MusciScores/id/214" target="_blank">Andantino pour harpe ou piano-forte<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/search/collection/MusciScores">http://contentdm.lib.byu.edu/cdm/search/collection/MusciScores</a>,,
1322,false,1322.php has been marked for review (Null partner) (Null browse link),Brigham Young University Institutional Repository,BrighamYoungUniversityInstitutionalRepository,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%ScholarsArchive is Brigham Young University's institutional repository for the scholarly and creative content produced by the University. ScholarsArchive makes research%comma% publications%comma% and data produced by BYU faculty and students available worldwide. </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/ref/collection/IR/id/1726" target="_blank">Henri Lanciaux in uniform<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:18px"> This collection is no longer available through the Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/search/collection/IR">http://contentdm.lib.byu.edu/cdm/search/collection/IR </a></p>,<img src="../images/collection_images/collection1322.jpg" alt="Henri Lanciaux in uniform" width="237" height="254" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1322.jpg" alt="Henri Lanciaux in uniform" width="237" height="254" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/ref/collection/IR/id/1726" target="_blank">Henri Lanciaux in uniform<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/search/collection/IR">http://contentdm.lib.byu.edu/cdm/search/collection/IR </a>,,
1325,false,1325.php has been marked for review (Null image description),University of Utah College of Architecture + Planning Collection,UniversityofUtahCollegeofArchitecture+PlanningCollection,Published by <a href="../partners/149.php">University of Utah - College of Architecture and Planning</a>,<p></p>%newline%<p>This collection was created by the College of Architecture + Planning at the University of Utah to facilitate the study of a wide range of local%comma% national and international architectural styles and histories. </p>%newline%<p><strong>College of Architecture & Planning Building</strong> </p>%newline%<p>Image courtesy of the faculty%comma% staff and students of the School of Architecture.</p>%newline%<p></p>%newline%</p>,<img src="../images/collection_images/collection1325.jpg" alt="College of Architecture and Planning" width="312" height="211" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1325.jpg" alt="College of Architecture and Planning" width="312" height="211" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=University+of+Utah+College+of+Architecture+++Planning+Collection">Browse all records in University of Utah College of Architecture + Planning Collection</a></p>,
1525,false,1525.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah Historic and Prehistoric Publications,UtahHistoricandPrehistoricPublications,Published by <a href="../partners/119.php">Department of Heritage and Arts</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Historic+and+Prehistoric+Publications">Browse all records in Utah Historic and Prehistoric Publications</a></p>,
1546,false,1546.php has been marked for review (Null Browse Link),Daily Enquirer (Provo%comma% UT) 2,DailyEnquirerProvoUT2,Published by <a href="../partners/102.php">Brigham Young University - Harold B. Lee Library</a>,</p>%newline%This collection is #2 of 2 collections. For the rest of the issues%comma% see the <a href="1545.php">Daily Enquirer (Provo%comma% UT) 1 collection</a>.</p>%newline%One of the oldest Provo%comma% Utah newspapers%comma% published from 1889-1908%comma% also known under the title Provo Daily Enquirer.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/DE2/id/108271" target="_blank">The Daily Enquirer Newspaper 1896-02-08 vol. 13 no. 58<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%This collection is temporarily unavailable through MWDL as we work on reharvesting and adding it to our index. It is still available directly from <a href="http://contentdm.lib.byu.edu/cdm/search/collection/DE2" target="_new">BYU Harold B. Lee Library Digital Collections</a>. </p>,<img src="../images/collection_images/collection1546.jpg" alt="The Daily Enquirer Newspaper 1896-02-08 vol. 13 no. 58" width="376" height="162" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1546.jpg" alt="The Daily Enquirer Newspaper 1896-02-08 vol. 13 no. 58" width="376" height="162" layout = "responsive"></amp-img>,<a href="1545.php">Daily Enquirer (Provo%comma% UT) 1 collection</a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/DE2/id/108271" target="_blank">The Daily Enquirer Newspaper 1896-02-08 vol. 13 no. 58<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/search/collection/DE2" target="_new">BYU Harold B. Lee Library Digital Collections</a>,,
1564,false,1564.php has been marked for review (Null image description),Brigham Young University Finding Aids,BrighamYoungUniversityFindingAids,Published by <a href="../partners/102.php">Brigham Young University - Harold B. Lee Library</a>,<p></p>%newline%<p>The Society of American Archivists glossary defines finding aids as:</p>%newline%<p>Finding aids typically have two components: an overview of the collection and a detailed inventory of the contents of the collection. The overview of the collection describes who created the materials%comma% the scope of the collection%comma% the arrangement of the collection%comma% and any access restrictions on the materials. The detailed inventory describes the contents of the collection at the series-level and the file or item-level. Finding aids are created to help researchers gain access to the materials.</p>%newline%</p>,<img src="../images/collection_images/collection1564.jpg" alt="BYU Logo" width="225" height="225" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1564.jpg" alt="BYU Logo" width="225" height="225" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Brigham+Young+University+Finding+Aids">Browse all records in Brigham Young University Finding Aids</a></p>,
1608,false,1608.php has been marked for review (Null image description),Utah Fire and Rescue Academy,UtahFireandRescueAcademy,Published by <a href="../partners/121.php">Utah Valley University Library</a>,<p></p>%newline%<p>UFRA contributes to the safety and security of Utah residents by training fire service emergency responders%comma% creating and maintaining programs and courses related to fire service emergency response%comma% assisting in the development of current and future fire department leaders%comma% and maintaining a certification program that insures a high degree of professionalism in all disciplines of the fire service. </p>%newline%<p><strong></strong></p>%newline%</p>,<img src="../images/collection_images/collection1608.jpg" alt="Fire and Rescue Academy Logo" width="108" height="109" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1608.jpg" alt="Fire and Rescue Academy Logo" width="108" height="109" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Fire+and+Rescue+Academy">Browse all records in Utah Fire and Rescue Academy</a></p>,
1623,false,1623.php has been marked for review (Null image description),Utah Valley University Encoded Archival Description (EAD) Finding Aids,UtahValleyUniversityEncodedArchivalDescriptionEADFindingAids,Published by <a href="../partners/121.php">Utah Valley University Library</a>,<p></p>%newline%<p>Encoded Archival Description (EAD) files about the holdings of the George Sutherland Archives at Utah Valley University Library.</p>%newline%</p>,<img src="../images/collection_images/collection1623.jpg" alt="Logo for Utah Valley University EAD Files" width="120" height="90" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1623.jpg" alt="Logo for Utah Valley University EAD Files" width="120" height="90" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Valley+University+Encoded+Archival+Description+(EAD)+Finding+Aids">Browse all records in Utah Valley University Encoded Archival Description (EAD) Finding Aids</a></p>,
1628,false,1628.php has been marked for review (Null Browse Link),Utah Office of Vital Records and Statistics. Birth Certificates%comma% 1905-1910,UtahOfficeofVitalRecordsandStatisticsBirthCertificates19051910,Published by <a href="../partners/107.php">Utah State Archives</a>,</p>%newline%This is the permanent legal record of all live births in the state filed with the Utah Office of Vital Records and Statistics in compliance with UCA 26-2-5. The information recorded in 1905 included the newborn child's full name%comma% sex%comma% date of birth%comma% place of birth%comma% whether a single or multiple births took place%comma% the parents' names%comma% race (color)%comma% ages%comma% birthplaces%comma% occupations%comma% and marital status%comma% and the number of children born to the mother. </p>%newline%&nbsp;</p>%newline%</p>%newline% <a href="http://images.archives.utah.gov/cdm4/document.php?CISOROOT=/81443&CISOPTR=2349&REC=8" target="_blank">Utah Resident's Birth Certificate<br> </a>Image from Utah State Archives</p>%newline%<p style="font-size:16px">This collection is no longer available in Mountain West Digital Library but can be found in the Utah State Digital Archives at </p>%newline%<p style="font-size:18px"><a href="http://archives.utah.gov/digital/81443.htm">http://archives.utah.gov/digital/81443.htm</a></p>,<img src="../images/collection_images/collection1628.jpg" alt="Utah Resident's Birth Certificate" width="353" height="278"> align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1628.jpg" alt="Utah Resident's Birth Certificate" width="353" height="278"> layout = "responsive"></amp-img>,<a href="http://images.archives.utah.gov/cdm4/document.php?CISOROOT=/81443&CISOPTR=2349&REC=8" target="_blank">Utah Resident's Birth Certificate<br> </a>%newline%<a href="http://archives.utah.gov/digital/81443.htm">http://archives.utah.gov/digital/81443.htm</a>,,
1635,false,1635.php has been marked for review (Null image) (Null image description),Lennox and Catherine Tierney Photograph Collection,LennoxandCatherineTierneyPhotographCollection,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%<p></p>%newline%</p>,,,,%newline%<a href="http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Lennox+and+Catherine+Tierney+Photograph+Collection">Browse all records in Lennox and Catherine Tierney Photograph Collection</a></p>,
1643,false,1643.php has been marked for review (Null image) (Null image description) (Null Article Text),Esplin Family Collection,EsplinFamilyCollection,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Esplin+Family+Collection">Browse all records in Esplin Family Collection</a></p>,
1644,false,1644.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah Architects Project,UtahArchitectsProject,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Architects+Project">Browse all records in Utah Architects Project</a></p>,
1647,false,1647.php has been marked for review (Null image description),Utah State University Special Collections Registers (EAD Finding Aids),UtahStateUniversitySpecialCollectionsRegistersEADFindingAids,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,<p></p>%newline%<p>Over 600 collections are housed in the Special Collections and Archives division of Utah State University's Merrill-Cazier Library. The collections contain unique%comma% primary-source material such as diaries%comma% unpublished manuscripts%comma% photographs%comma% university records and oral histories.</p>%newline%<p><strong></strong></p>%newline%</p>,<img src="../images/collection_images/collection1647.jpg" alt="EAD Finding Aids" width="120" height="90" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1647.jpg" alt="EAD Finding Aids" width="120" height="90" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+State+University+Special+Collections+Registers+(EAD+Finding+Aids)">Browse all records in Utah State University Special Collections Registers (EAD Finding Aids)</a></p>,
1648,false,1648.php has been marked for review (Null image) (Null image description) (Null Article Text),Westminster College Finding Aids (EAD),WestminsterCollegeFindingAidsEAD,Published by <a href="../partners/122.php">Westminster College - Giovale Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Westminster+College+Finding+Aids+(EAD)">Browse all records in Westminster College Finding Aids (EAD)</a></p>,
1785,false,1785.php has been marked for review (Null image description),Beat Poetry%comma% Broadsides%comma% and Little Magazines,BeatPoetryBroadsidesandLittleMagazines,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,<p></p>%newline%<p>Beat Movement broadsides and posters in this collection were part of a revolution in self-publishing as artists and poets seized control over the dissemination of their work and took it directly to the people and the streets%comma% dodging the strong forces of censorship that permeated 1950s America. Diverse in size%comma% quality%comma% and quantity – from mimeographs to fine letterpress print – broadsides have been important vehicles for political%comma% social%comma% and cultural commentary on a profusion of subjects including politics%comma% free love%comma% the anti-war movement%comma% environmental consciousness%comma% civil rights%comma% free speech%comma% and more. The broadsides are critical primary research materials%comma% artfully documenting the dynamic social movements of the 1950s and 1960s.</p>%newline%</p>,<img src="../images/collection_images/collection1785.jpg" alt="Broadsides" width="370" height="207" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1785.jpg" alt="Broadsides" width="370" height="207" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Beat+Poetry%comma%+Broadsides%comma%+and+Little+Magazines">Browse all records in Beat Poetry%comma% Broadsides%comma% and Little Magazines</a></p>,
1786,false,1786.php has been marked for review (Null image description),Cache Valley Diaries,CacheValleyDiaries,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,<p></p>%newline%<p>The Cache Valley Diaries digital collection brings a sampling of these firsthand accounts from the Merrill-Cazier Library's Special Collections and Archives to your computer screen. More than just lists of daily reflections by Cache Valley residents%comma% these volumes also contain biographies and correspondence related to the individuals who wrote them. Some are typescript copies while others are the original narratives handwritten by the author. Each contributes to understanding 150+ years of Cache Valley experience.</p>%newline%</p>,<img src="../images/collection_images/collection1786.jpg" alt="Cache Valley Diaries" width="357" height="286" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1786.jpg" alt="Cache Valley Diaries" width="357" height="286" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Cache+Valley+Diaries">Browse all records in Cache Valley Diaries</a></p>,
1787,false,1787.php has been marked for review (Null image description),Collecting Memories: Oral Histories of American Folklorists,CollectingMemoriesOralHistoriesofAmericanFolklorists,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,<p></p>%newline%<p>Collecting Memories features the voices of American folklorists and aims to document the development and change in the field of folklore since the mid-twentieth century. A joint project of the American Folklore Society (AFS) and Utah State University (USU) (official repository of the AFS archives)%comma% this collection offers a descriptive listing of interviews held at USU and at other institutions. The USU interviews include transcript%comma% sound%comma% photographs and more. Interviews housed at other institutions are mostly analog and not available online; however%comma% links lead users to descriptive records at the owning institutions where in some cases transcripts are available.</p>%newline%</p>,<img src="../images/collection_images/collection1787.jpg" alt="Collecting Memories" width="383" height="277" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1787.jpg" alt="Collecting Memories" width="383" height="277" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Collecting+Memories:+Oral+Histories+of+American+Folklorists">Browse all records in Collecting Memories: Oral Histories of American Folklorists</a></p>,
1788,false,1788.php has been marked for review (Null Browse Link),Compton Studio Photographs,ComptonStudioPhotographs,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,</p>%newline%Images in this digital collection represent just a fraction of the many thousands of portraits and other photographs taken by the Compton Studio in Brigham City%comma% Utah from 1884 to 1994. Three generations of Comptons operated the Compton Studio%comma% creating a remarkable visual record of business%comma% agriculture%comma% education%comma% and social activities in Box Elder County spanning almost century.</p>%newline%,<img src="../images/collection_images/collection1788.jpg" alt="Brigham City" width="399" height="276" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1788.jpg" alt="Brigham City" width="399" height="276" layout = "responsive"></amp-img>,<a href="http://digital.lib.usu.edu/cdm/search/collection/Compton">Utah State University Digital Collections.</a>,,
1794,false,1794.php has been marked for review (Null partner),Idaho State Historical Society Browsing Photographs,IdahoStateHistoricalSocietyBrowsingPhotographs,Published by <a href="../partners/287.php"></a>,<p></p>%newline%<p>The Browsing Photographs Collection is comprised of a vast array of subjects and locations from across Idaho. Biographies%comma% general subjects%comma% Native American groups%comma% Idaho towns and Boise subjects come together to collectively form the Browsing Collection.</p>%newline%</p>,<img src="../images/collection_images/collection1794.jpg" alt="Parade" width="450" height="325" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1794.jpg" alt="Parade" width="450" height="325" layout = "responsive"></amp-img>,<a href="http://idahohistory.cdmhost.com/cdm/singleitem/collection/p16281coll12/id/236/rec/2" target="_blank">Fourth of July parade down Main Street in Hailey%comma% headed by Miners Union%comma% 1883</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Idaho+State+Historical+Society+Browsing+Photographs">Browse all records in Idaho State Historical Society Browsing Photographs</a></p>,
1795,false,1795.php has been marked for review (Null partner),Civilian Conservation Corps in Idaho,CivilianConservationCorpsinIdaho,Published by <a href="../partners/287.php"></a>,<p></p>%newline%<p>The Civilian Conservation Corps (CCC) was a public works relief program that operated from 1933 to 1942 in the United States for unemployed%comma% unmarried men from relief families%comma% ages 17 to 23. A part of the New Deal of President Franklin D. Roosevelt%comma% it provided unskilled manual labor jobs related to the conservation and development of natural resources in rural lands owned by federal%comma% state and local governments. The CCC was designed to provide employment for young men in relief families who had difficulty finding jobs during the Great Depression while at the same time implementing a general natural resource conservation program in every state and territory. Maximum enrollment at any one time was 300%comma%000; in nine years 2.5 million young men participated.</p>%newline%</p>,<img src="../images/collection_images/collection1795.jpg" alt="Logging at Camp Brown Creek%comma% Idaho" width="387" height="278" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1795.jpg" alt="Logging at Camp Brown Creek%comma% Idaho" width="387" height="278" layout = "responsive"></amp-img>,<a href="http://idahohistory.cdmhost.com/cdm/singleitem/collection/p265501coll11/id/127/rec/58" target="_blank">Logging at Camp Brown Creek%comma% Idaho%comma% 1930s</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Civilian+Conservation+Corps+in+Idaho">Browse all records in Civilian Conservation Corps in Idaho</a></p>,
1801,false,1801.php has been marked for review (Null partner),Idaho Statehouse Images,IdahoStatehouseImages,Published by <a href="../partners/287.php"></a>,</p>%newline%Learn about the Idaho State Archives involvement with the Idaho Capitol Commission and view a selection of images catalog chosen specifically for tenants of Idaho's Capitol Building.</p>%newline%,<img src="../images/collection_images/collection1801.jpg" width="216" height="365" alt="Proclamation - Governor E. A. Curtis - Death of General Grant" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1801.jpg" width="216" height="365" alt="Proclamation - Governor E. A. Curtis - Death of General Grant" layout = "responsive"></amp-img>,<a href="http://idahohistory.contentdm.oclc.org/cdm/singleitem/collection/p265501coll9/id/215" target="_blank">Proclamation - Governor E. A. Curtis - Death of General Grant</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Idaho+Statehouse+Images">Browse all records in Idaho Statehouse Images</a></p>,
1804,false,1804.php has been marked for review (Null partner),Leo J. 'Scoop' Leeburn Photographs,LeoJScoopLeeburnPhotographs,Published by <a href="../partners/287.php"></a>,<p></p>%newline%<p>Leo “Scoop” Leeburn was a famous Boise-area photographer who captured many iconic Boise images. His photojournalism career started in 1943%comma% and he took photographs up until his death in 2002 at the age of 81. His photos appeared in <em>The Idaho Statesman</em>. Leeburn has been labeled "the unofficial photographer-at-large%comma%" and "a Boise institution." His photographs show life in Boise in the 1940s from work to a variety of activities. </p>%newline%</p>,<img src="../images/collection_images/collection1804.jpg" alt="Leo Leeburn at wedding (1954)" width="228" height="288" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1804.jpg" alt="Leo Leeburn at wedding (1954)" width="228" height="288" layout = "responsive"></amp-img>,<a href="http://idahohistory.cdmhost.com/cdm/singleitem/collection/p16281coll3/id/199/rec/9" target="_blank">Leo Leeburn at wedding (1954)<br> </a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Leo+J.+'Scoop'+Leeburn+Photographs">Browse all records in Leo J. 'Scoop' Leeburn Photographs</a></p>,
1807,false,1807.php has been marked for review (Null partner),Mining History in Idaho,MiningHistoryinIdaho,Published by <a href="../partners/287.php"></a>,<p></p>%newline%<p>Photographs%comma% maps%comma% oral history interviews%comma% documents and more%comma% all pertaining to the history of mining in Idaho.</p>%newline%</p>,<img src="../images/collection_images/collection1807.jpg" alt="Geology of Silver City and vicinity%comma% Idaho" width="364" height="256" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1807.jpg" alt="Geology of Silver City and vicinity%comma% Idaho" width="364" height="256" layout = "responsive"></amp-img>,<a href="http://idahohistory.contentdm.oclc.org/cdm/ref/collection/p265501coll1/id/192" target="_blank">Geology of Silver City and vicinity%comma% Idaho<br> </a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Mining+History+in+Idaho">Browse all records in Mining History in Idaho</a></p>,
1811,false,1811.php has been marked for review (Null partner),Boise Territorial Images 1863-1890,BoiseTerritorialImages18631890,Published by <a href="../partners/287.php"></a>,</p>%newline%Images of Boise%comma% Idaho from 1863-1890</p>%newline%&nbsp;</p>%newline%</p>,<img src="../images/collection_images/collection1811.jpg" width="350" height="257" alt="Boise Idaho post office and general store" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1811.jpg" width="350" height="257" alt="Boise Idaho post office and general store" layout = "responsive"></amp-img>,<a href="http://idahohistory.contentdm.oclc.org/cdm/ref/collection/p16281coll11/id/39" target="_blank">Post Office and General Store</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Boise+Territorial+Images+1863-1890">Browse all records in Boise Territorial Images 1863-1890</a></p>,
