Collection Number,Passed Inspection,Note,Title,Publisher,Article Text,Article Image,Image Height,Image Length,Image Description,,,,,,,,,,,
1543,TRUE,,Murray (UT) Museum Collection,Murray (UT) Museum,</p>%newline%A wide-ranging collection of nearly 3%comma%000 photographs from the Murray City (Utah) Museum depicting a general history of Murray from the early 20th to early 21st centuries. Topics and events portrayed in the photos include early pioneers%comma% city mayors and other prominent citizens%comma% city buildings and schools%comma% the Murray fire department%comma% 1983 flood%comma% Jordan River Parkway%comma% construction along State Street%comma% just to name a few.</p>%newline%,collection1543.jpg,232,379,1910 Car,,,,,,,,,,,
1544,TRUE,,Singin' Sam Agins Collection,Utah State University - Merrill-Cazier Library,</p>%newline%Singin Sam Agins (1919-1996) was passionate about writing%comma% collecting%comma% and recording American folk songs%comma% especially of the West. He shared his joy of music for four decades (1940s+) by teaching and performing before audiences of dude ranch guests%comma% hospital patients%comma% disabled children%comma% military vets%comma% and even incarcerated prisoners.</p>%newline%,collection1544.jpg,358,260,The Agins family,,,,,,,,,,,
1545,TRUE,,Daily Enquirer (Provo%comma% UT) 1,Brigham Young University - Harold B. Lee Library,"</p>%newline%This collection is #1 of 2 collections. For the rest of the issues%comma% see the <a href=""DailyEnquirerProvoUT2.php"">Daily Enquirer (Provo%comma% UT) 2 collection</a>.</p>%newline%One of the oldest Provo%comma% Utah newspapers%comma% published from 1889-1908%comma% also known under the title Provo Daily Enquirer.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/DE1/id/220230" target="_blank">The Daily Enquirer Newspaper 1891-12-08 vol. 5 no. 7<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%</p>",collection1545.jpg,337,335,Daily Enquirer (Provo%comma% UT) 2 collection,,,,,,,,,,,
1546,FALSE,1546.php has been marked for review (Null Browse Link),Daily Enquirer (Provo%comma% UT) 2,Brigham Young University - Harold B. Lee Library,"</p>%newline%This collection is #2 of 2 collections. For the rest of the issues%comma% see the <a href=""DailyEnquirerProvoUT1.php"">Daily Enquirer (Provo%comma% UT) 1 collection</a>.</p>%newline%One of the oldest Provo%comma% Utah newspapers%comma% published from 1889-1908%comma% also known under the title Provo Daily Enquirer.</p>%newline% <a href=""http://contentdm.lib.byu.edu/cdm/compoundobject/collection/DE2/id/108271"" target=""_blank"">The Daily Enquirer Newspaper 1896-02-08 vol. 13 no. 58<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%This collection is temporarily unavailable through MWDL as we work on reharvesting and adding it to our index. It is still available directly from <a href="http://contentdm.lib.byu.edu/cdm/search/collection/DE2" target="_new">BYU Harold B. Lee Library Digital Collections</a>. </p>",collection1546.jpg,162,376,Daily Enquirer (Provo%comma% UT) 1 collection,,,,,,,,,,,
1547,TRUE,,Utah Office of Vital Records and Statistics. Death Certificates%comma% 1905-1958,Utah State Archives,<p></p>%newline%<p>The Utah Office of Vital Records and Statistics began issuing death certificates in 1904. A death certificate is the permanent legal record of an individual's death. Each death certificate includes the decedent's full name%comma% date of death%comma% county where death occurred%comma% decedent's race and gender%comma% place and date of birth%comma% marital status%comma% occupation%comma% permanent residence%comma% place and date of burial%comma% time of death%comma% chief cause and contributory factors of death%comma% and if applicable%comma% where illness was contracted and duration of illness. Death certificates also include the names and birthplaces of parents.</p>%newline%</p>,collection1547.jpg,326,352,Utah Resident's Death Certificate,,,,,,,,,,,
1548,TRUE,,Neuro-Ophthalmology: Helmut Wilhelm Collection,University of Utah - Spencer S. Eccles Health Sciences Library,</p>%newline%Part of the The Neuro-Ophthalmology Virtual Education Library</p>%newline%A discipline specific%comma% open access repository of digital materials (images%comma% video%comma% lectures%comma% articles and animations)%comma% to be used for educational and research purposes by health care professionals%comma% educators%comma% patients%comma% and students. </p>%newline%,collection1548.jpg,138,336,Nystagmus latens,,,,,,,,,,,
1549,TRUE,,Neuro-Ophthalmology: North American Neuro-Ophthalmology Society Annual Meeting Collection,University of Utah - Spencer S. Eccles Health Sciences Library,</p>%newline%Part of the The Neuro-Ophthalmology Virtual Education Library</p>%newline%A discipline specific%comma% open access repository of digital materials (images%comma% video%comma% lectures%comma% articles and animations)%comma% to be used for educational and research purposes by health care professionals%comma% educators%comma% patients%comma% and students. </p>%newline%,collection1549.jpg,422,353,Ocular Motor palsy,,,,,,,,,,,
1550,TRUE,,Extension%comma% Enterprise and Education: The Legacy of Cooperatives and Cooperation in Utah,Utah State University - Merrill-Cazier Library,</p>%newline%Co-operatives are voluntary associations jointly-owned and operated for the benefit of those using their services. While the Co-operative Movement was a worldwide phenomena in the 1800s%comma% it was particularly strong and pervasive early on in Utah. Nineteenth-century Utah pioneers embraced the spirit of cooperation%comma% building shared irrigation systems and establishing co-op stores within their communities.</p>%newline%,collection1550.jpg,321,363,Postcard of Sunstone from Mormon Temple%comma% Nauvoo%comma% Illinois,,,,,,,,,,,
1557,TRUE,,Sanpete County (Utah). County Clerk Death Register,Utah State Archives,</p>%newline%These records contain death registers for the years 1898-1905. Each entry has the decedent' s name%comma% date of death%comma% place of death%comma% term of residence%comma% sex%comma% color%comma% race%comma% age%comma% occupation%comma% cause of death%comma% marital status%comma% birthplace%comma% residence%comma% and name of informant.</p>%newline%&nbsp,</p>%newline%,collection1557.png,250,250,Sanpete County Death Record,,,,,,,,,,
1558,TRUE,,Bryner Pioneer Museum%comma% Price (UT),Bryner Pioneer Museum (Price%comma% UT),</p>%newline%Albert Bryner was the second of three sons of Ulrich and Maria Mathis Bryner. Ulrich gave Albert and his wife Mariah Pace%comma% a plot of land on the corner of 1st South and 1st East on which to build a home. It was completed between 1890 and 1892%comma% whereupon Albert was called on a mission to Germany for the LDS Church. The first floor of the house will be decorated in the 1890's period%comma% and the second floor will be decorated in the 1920's to 1950's era to reflect the history of the people who lived here.</p>%newline%,collection1558.jpg,420,262,Utah Railway Company Semi-Monthly Time Book,,,,,,,,,,,
1559,TRUE,,Utah Government Digital Library,Utah State Library,</p>%newline%A division of the Utah Department of Heritage and Arts%comma% here you can find publications from all levels of the government in Utah.</p>%newline%,collection1559.jpg,400,306,Alpine annexation map,,,,,,,,,,,
1560,TRUE,,Bells: Connecting Animals%comma% People%comma% and Land,Utah State University - Merrill-Cazier Library,</p>%newline%Animal belling traditions began in Africa more than 5%comma%000 years ago. Ever since then%comma% bells have been used on various animals throughout the world from goats to chickens to sheep to camels. Bells: Connecting Animals%comma% People and Land interprets how both handmade and industrial bells create relationships with cultures%comma% landscapes and livestock.</p>%newline%,collection1560.jpg,301,329,Medium-Sized Blum Bell,,,,,,,,,,,
1561,TRUE,,Utah Folklorists Image Collection,Utah State University - Merrill-Cazier Library,</p>%newline%Austin and Alta Fife%comma% Wayland D. Hand%comma% William A. Wilson%comma% Hal Cannon%comma% Carol Edison%comma% Wallace Stegner and Juanita Brooks are just some of the prominent Utah folklorists pictured in this collection of photographs from the 1930s to the present. Digitized from originals housed at the Utah Folk Arts Program in Salt Lake City%comma% many of these images also appear in David Stanely's Folklore in Utah: A History and Guide to Resources (Utah State University Press%comma% 2004).</p>%newline%,collection1561.jpg,334,365,Craig Miller,,,,,,,,,,,
1562,TRUE,,Utah Peace Activists Oral History,Utah Valley University Library,</p>%newline%The Oral History of Utah Peace Activists Project was begun in the spring of 2006. The goals are to preserve the historical record of peace activists and peace movements in Utah as well as to provide opportunities for Utahns and others to learn about the important role of peace activism in our society.</p>%newline%,collection1562.JPG,220,335,Peace Activists,,,,,,,,,,,
1563,TRUE,,Menus: The Art of Dining,University of Nevada%comma% Las Vegas%comma% University Libraries,</p>%newline%Menus provide a wealth of information beyond their purely aesthetic value and are a particularly rich resource for aspects of cultural and social history. They give us information on the most popular cuisine of a time period and region and are evidence of changing culinary tastes. They can indicate how particular food items have been used regionally%comma% and in the case of notable restaurants can provide evidence of the work of well-known chefs. Design-wise they are examples of the graphic design elements illustrative of a particular historical time period. For students of menu design they can serve as examples of graphic design%comma% placement and layout. Last but not least%comma% they have a purely nostalgic value for those persons who have visited a particular restaurant or hotel and want to re-live that experience by reading through the menu.</p>%newline%,collection1563.jpg,297,387,The Fountain House%comma% menu%comma% pages 2-3,,,,,,,,,,,
1564,TRUE,1564.php has been marked for review (Null image description),Brigham Young University Finding Aids,Brigham Young University - Harold B. Lee Library,<p></p>%newline%<p>The Society of American Archivists glossary defines finding aids as:</p>%newline%<p>Finding aids typically have two components: an overview of the collection and a detailed inventory of the contents of the collection. The overview of the collection describes who created the materials%comma% the scope of the collection%comma% the arrangement of the collection%comma% and any access restrictions on the materials. The detailed inventory describes the contents of the collection at the series-level and the file or item-level. Finding aids are created to help researchers gain access to the materials.</p>%newline%</p>,collection1564.jpg,225,225,"Brigham Young University ""Y"" logo.",,,,,,,,,,,
1565,FALSE,1565.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1566,FALSE,1566.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1567,TRUE,,Salt Lake Community College Photograph Archives,Salt Lake Community College Libraries,</p>%newline%The Photo Archives Collection is part of the digital archives of Salt Lake Community College. This collection features digitized archival photographs and slides that chronicle the history of the College.</p>%newline%,collection1567.jpg,220,256,Graduation photo%comma% Nursing Program,,,,,,,,,,,
1600,TRUE,,Sanpete County (Utah). County Clerk Birth Register,Utah State Archives,</p>%newline%These records contain birth registers recorded from 1898 through 1905. Each entry includes an assigned number%comma% sex%comma% color%comma% race%comma% date and place of birth%comma% parent's names and residence%comma% attending physician %comma% and remarks.</p>%newline%&nbsp,</p>%newline%,collection1600.png,333,333,Sanpete County Birth Record,,,,,,,,,,
1601,TRUE,,Commissioner of Indian War Records Indian War Service Affidavits,Utah State Archives,<p></p>%newline%<p>In 1909 the legislature passed a law creating a Board of Commissioners of Indian War Records. Their duties were to ascertain the names of the persons who were members of any organization performing military duties during Indian wars or expeditions against the Indians during territorial years. Veterans completed affidavits of service, two witnesses also completed affidavits supporting the facts. The affidavits were then filed in the office of the chairman of the board%comma% the Adjutant General of the State.</p>%newline%</p>,collection1601.jpg,553,327,Affidavit Concerning Service in Indian Wars,,,,,,,,,,
1602,FALSE,1602.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1603,TRUE,,Larson Studio Negative Collection,Department of Heritage and Arts,</p>%newline%The Larson Studio Collection contains portraits and landscape photographs from Thomas Larson and his son O. Blaine Larson%comma% who operated the Larson Studio in Provo%comma% Utah County%comma% Utah.</p>%newline%,collection1603.jpg,,409,<em>A. C. Talboe</em>,,,,,,,,,,,
1605,TRUE,,Salt Lake Community College Scholarly and Creative Works,Salt Lake Community College Libraries,</p>%newline%Starting Fall Semester 2007%comma% SLCC invites faculty and students to submit their scholarly and creative work to our Digital Collection. This collection showcases these works.</p>%newline%,collection1605.jpg,256,253,Horizon literary journal,,,,,,,,,,,
1606,TRUE,,Salt Lake Community College Student Newspapers,Salt Lake Community College Libraries,</p>%newline%The student newspaper for Salt Lake Community College has been published under a number of different names. The Tradesman is the earliest title found to-date and the single issue on file was published in 1959. Tech Topics was published from December 1962 until August 1973. Utah Tech News was published as a supplement to the Murray Eagle for what looks like a single issue in August 1973. Beginning in September 1973 the title became Points West until June 1987. While a new name was being sought from student suggestions the masthead for the paper read No Name Paper for four issues from September to October 1987. The new name decided upon was Horizon which lasted from October 1987 until March 2001. The student newspaper resumed publication under its current name The Globe in October 2001.</p>%newline%,collection1606.jpg,332,248,SLCC Student Newspapers 1981-04-14,,,,,,,,,,,
1607,TRUE,,Barry Maxfield Railroad Photographs,Utah Valley University Library,</p>%newline%A collection of trains and railroads around the intermountain west. </p>%newline%,collection1607.jpg,239,345,Silverton bound train getting ready to leave Durango%comma% Colorado.,,,,,,,,,,,
1608,TRUE,1608.php has been marked for review (Null image description),Utah Fire and Rescue Academy,Utah Valley University Library,<p></p>%newline%<p>UFRA contributes to the safety and security of Utah residents by training fire service emergency responders%comma% creating and maintaining programs and courses related to fire service emergency response%comma% assisting in the development of current and future fire department leaders%comma% and maintaining a certification program that insures a high degree of professionalism in all disciplines of the fire service. </p>%newline%<p><strong></strong></p>%newline%</p>,collection1608.jpg,109,108,Fire and Rescue Academy Logo,,,,,,,,,,,
1609,TRUE,,Ogden (UT) City Recorder Birth Register,Utah State Archives,</p>%newline%The Ogden City Recorder kept a register of births occurring within Ogden which included a name%comma% parents%comma% date of birth%comma% residence%comma% race%comma% sex%comma% whether stillborn or live birth%comma% name of attending physician and remarks. The recorder also collected supplemental information confirming births in the form of affidavits and birth certificates%comma% including some for births prior to 1890. These were interleaved%comma% taped and glued to the pages of the original register. Later on%comma% a second copy of the register was typewritten and is included in this series. The recorder began this register before an 1898 law which required filing reports of birth with the county clerk (Revised Statutes of Utah 1898%comma% Title 57%comma% p. 474-475). In 1904%comma% a new law superseded the county registers with uniform birth certificates kept permanently by the Vital Records and Statistics office.</p>%newline%&nbsp,</p>%newline%,collection1609.png,311,311,Ogden City Birth Record,,,,,,,,,,
1611,TRUE,,Design Workshop Landscape Architecture Archive,Utah State University - Merrill-Cazier Library,"</p>%newline%Design Workshop®%comma% a Denver-based landscape architecture firm%comma% has been creating ""sustainable places of timeless beauty"" since 1969. The firm's numerous awards reflects its successful innovations in land planning and design. To mark its 40th anniversary in 2010%comma% Design Workshop partnered with Utah State University to create the Design Workshop Landscape Architecture Archive which includes this digital collection as well as a physical archive housed in Merrill-Cazier Library's Special Collections and Archives</p>%newline%",collection1611.jpg,272,357,Mountains in Kananaskis Country%comma% Alberta,,,,,,,,,,,
1612,TRUE,,Intermountain Indian School,Utah State University - Merrill-Cazier Library,"</p>%newline%In 1948 Bushnell Hospital in Brigham City%comma% Utah was transformed into what would become the Intermountain Indian School%comma% or%comma% the ""world's largest boarding school."" The school opened its doors in January 1950 to five hundred Navajo students. Educational goals were to teach English and basic academic disciplines as well as vocational skills which%comma% it was believed%comma% would facilitate assimilation into mainstream America.</p>%newline%",collection1612.jpg,292,333,Boy sand painting,,,,,,,,,,,
1613,TRUE,,Paul Jones%comma% the Portal%comma% and the Building of St. John's Episcopal Church,Utah State University - Merrill-Cazier Library,</p>%newline%Episcopal minister Paul Jones is the focus of this collection which contains a scrapbook with pictures of his Logan years (1906-1913)%comma% pictures and documents related to construction of the new church building for St. John's Episcopal Church%comma% issues of the publication The Portal%comma% and articles about his career and the pacifist activities that resulted in his controversial resignation as Bishop of Utah in 1917</p>%newline%,collection1613.jpg,315,223,Portal%comma% v. 3%comma% no. 6,,,,,,,,,,,
1614,FALSE,1614.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1615,TRUE,,Historic Landscape of Nevada: Development%comma% Water%comma% and the Natural Environment,University of Nevada%comma% Las Vegas%comma% University Libraries,</p>%newline%The persistence of the natural landscape and predominantly arid ecology of Nevada has created one of the greatest challenges facing the people of Nevada and the American West as we struggle to maintain our built environment. This project%comma% The Historic Landscape of Nevada: Development%comma% Water and the Natural Environment%comma% documents the historic role of water resource management in Southern Nevada.</p>%newline%,collection1615.jpg,291,189,Geology and water resources of Las Vegas,,,,,,,,,,,
1616,TRUE,,Lincoln Ellison%comma% U.S. Forest Service,Utah State University - Merrill-Cazier Library,"</p>%newline%<em>“Let us remember that there is an ethical element in sound land use. To us as human beings—rather than as animals—this ethical element may well be as important as the element of survival.”</em> -- Lincoln Ellison in his 1955 inaugural address ""Our Weight in the Balance of Nature"" to the Utah Academy of Sciences. <br><br> Ellison’s extraordinary passion for nature and the outdoors shines clearly in his journals%comma% correspondence%comma% and scientific writing. A diarist from a young age%comma% Ellison grew up in an age of letter writers and was himself an eloquent writer. Those of his writings included in this digital collection show the thinking of an early ecological pioneer. They chronicle his ideas about man and the environment%comma% recreation%comma% wilderness and family life. They also represent a narrative about the western United States during the Depression and World War II. <br><br> Born in Portland%comma% Oregon%comma% Ellison grew up in California and worked for the United States Forest Service throughout the western United States during the 1930s-1950s. He was the director of the Great Basin Experiment Station in Ephraim%comma% Utah and later moved to Ogden to manage the region’s range research program.This collection was generously donated to Utah State University by his daughter%comma% Liane Norman%comma% whose full biography of Ellison entitled Lincoln Ellison Director%comma% Great Basin Branch Experiment Station 1938—45 is included. </p>%newline%",collection1616.jpg,246,392,Blue Ridge Mountains%comma% Shenandoah National Park,,,,,,,,,,,
1617,TRUE,,University of Utah Theses and Dissertations 3,University of Utah,"</p>%newline%This collection is #3 of 3 collections. For the rest of the items%comma% see <a href=""UniversityofUtahThesesandDissertations1.php"">University of Utah Theses and Dissertations 1</a> or <a href=""UniversityofUtahThesesandDissertations2.php"">University of Utah Theses and Dissertations 2</a></p>%newline%The Theses and Dissertations collection includes selected dissertations%comma% masters theses and projects%comma% and undergraduate honors theses from University of Utah graduates. Some theses and dissertations are viewable in the campus libraries only.</p>%newline% <a href="http://collections.lib.utah.edu/cdm/ref/collection/etd3/id/321" target="_blank">The role of the microprocessor in the end of the Cold War<br> </a>University of Utah</p>%newline%</p>",collection1617.jpg,505,385,University of Utah Theses and Dissertations 1,,,,,,,,,,,
1618,TRUE,,Utah Legislature. Senate Working Bills,Utah State Archives,</p>%newline%This series documents the legislative process in the Utah Senate. The working copy includes the bill as introduced and any amendments made to it. The final official version of the bill is not part of this series unless it was vetoed by the Governor%comma% returned to the Legislature while still in session%comma% and the Legislature failed to override the veto.</p>%newline%&nbsp,</p>%newline%</p>%newline%</p>%newline%</p>,collection1618.jpg,416,218,1896 Session Bill 1,,,,,,,,,,
1619,TRUE,,Utah Statehood Constitutional Convention State Constitution,Utah State Archives,"</p>%newline%This series is the official or ""engrossed"" copy of the Utah State Constitution adopted by the Constitutional Convention in 1895. Congress passed an Enabling Act in 1894 that set out the requirements for the Utah Territory to achieve statehood. The main requirement was the adoption of an acceptable constitution. The Constitutional Convention met to formulate such a document from 4 March to 8 May1895. Convention delegates debated a variety of issues related to crafting a constitution%comma% including the structure of state government%comma% the separation of church and state%comma% and woman suffrage.</p>%newline%",collection1619.jpg,432,268,State Constitution,,,,,,,,,,,
1620,TRUE,,College of Southern Utah Photographs,Southern Utah University - Sherratt Library,<p></p>%newline%<p>The name of Southern Utah University has changed several times to reflect administrative and mission changes. From 1953 to 1969%comma% it was known as the College of Southern Utah%comma% emphasizing its role as a regional educational center. These photographs give an insight into college events and life during those years.</p>%newline%</p>,collection1620.jpg,241,353,Scene from CSU production of The Bad Seed,,,,,,,,,,,
1621,TRUE,,John David Morrill Photographs,Southern Utah University - Sherratt Library,<p></p>%newline%<p>John David Morrill was a home builder%comma% fish hatchery manager%comma% game warden%comma% and photographer. These photos of family%comma% work and Panguitch scenery were taken before his untimely death in 1916.</p>%newline%</p>,collection1621.jpg,217,352,John David Morrill,,,,,,,,,,,
1622,TRUE,,John Wesley Williamson Photographs,Southern Utah University - Sherratt Library,<p></p>%newline%<p>These images are of landmarks%comma% monuments%comma% landscapes%comma% and buildings for a book titled Seven Trails West: A Pictorial History which remained unpublished at his death.</p>%newline%</p>,collection1622.jpg,227,346,Fort Laramie,,,,,,,,,,,
1623,TRUE,1623.php has been marked for review (Null image description),Utah Valley University Encoded Archival Description (EAD) Finding Aids,Utah Valley University Library,<p></p>%newline%<p>Encoded Archival Description (EAD) files about the holdings of the George Sutherland Archives at Utah Valley University Library.</p>%newline%</p>,collection1623.jpg,90,120,Utah Valley University,,,,,,,,,,,
1624,TRUE,,Utah Legislature. Commission on the Organization of the Executive Branch of the Government%comma% 1966,Utah State Archives,</p>%newline%A collection of the reports and findings of the Commission on the Organization of the Executive Branch</p>%newline%&nbsp,</p>%newline%</p>%newline%,collection1624.jpg,360,277,Plan of Organization,,,,,,,,,,
1625,TRUE,,Utah Governor Jon M. Huntsman (2005-2009). Schedule,Utah State Archives,"</p>%newline%These are the daily schedules of Jon M. Huntsman%comma% Jr. They were created to coordinate his activities and obligations efficiently. Each day's schedule records date%comma% times%comma% type of activity%comma% often with notations%comma% names of persons or groups with whom he would be meeting%comma% and staff involved. Activities include business meetings%comma% speeches%comma% special events and trips. The schedules were created and kept electronically using a computer program created by the Governor's information technology staff%comma% though archival holdings include only ""hardcopies"" released publicly.</p>%newline%&nbsp;</p>%newline%",collection1625.jpg,448,334,Jon Huntsman's Schedule January 2005,,,,,,,,,,,
1626,TRUE,,Utah Governor Scott M. Matheson (1977-1984). Committee on Executive Reorganization%comma% 1978,Utah State Archives,</p>%newline%This series contains correspondence%comma% publications%comma% and reports pertaining to state agencies that passed through the Governor's office. The topical focus of the materials created by the Governor online are the Committee on Executive Reorganization.</p>%newline%</p>%newline%,collection1626.jpg,401,316,Committee Executive Summary,,,,,,,,,,,
1627,TRUE,,Utah Legislature. Little Hoover Commission%comma% 1965-1966,Utah State Archives,</p>%newline%This series contains a variety of records that document work done by state agencies in response to mandates set by the Little Hoover Commission%comma% which was tasked with reorganizing Utah State Government in the 1960's. The records in this series include correspondence between agencies and the commission%comma% as well as state agency meeting minutes pertaining to discussions focused on improving efficiency and a variety of reorganization issues and scenarios. Based on this information many state government agencies produced statements and recommendations to the Little Hoover Commission %comma% several of which can be found in this series.</p>%newline%&nbsp,</p>%newline%</p>%newline%,collection1627.jpg,454,339,Council Meeting Minutes,,,,,,,,,,
1628,FALSE,1628.php has been marked for review (Null Browse Link),Utah Office of Vital Records and Statistics. Birth Certificates%comma% 1905-1910,Utah State Archives,"</p>%newline%This is the permanent legal record of all live births in the state filed with the Utah Office of Vital Records and Statistics in compliance with UCA 26-2-5. The information recorded in 1905 included the newborn child's full name%comma% sex%comma% date of birth%comma% place of birth%comma% whether a single or multiple births took place%comma% the parents' names%comma% race (color)%comma% ages%comma% birthplaces%comma% occupations%comma% and marital status%comma% and the number of children born to the mother. </p>%newline%&nbsp;</p>%newline%</p>%newline% <a href="http://images.archives.utah.gov/cdm4/document.php?CISOROOT=/81443&CISOPTR=2349&REC=8" target="_blank">Utah Resident's Birth Certificate<br> </a>Image from Utah State Archives</p>%newline%<p style="font-size:16px">This collection is no longer available in Mountain West Digital Library but can be found in the Utah State Digital Archives at </p>%newline%<p style=""font-size:18px""><a href="http://archives.utah.gov/digital/81443.htm">http://archives.utah.gov/digital/81443.htm</a></p>",collection1628.jpg,278,353,Utah Resident's Birth Certificate,,,,,,,,,,,
1629,TRUE,,Utah State Records Committee. Minutes%comma% 1992-2009,Utah State Archives,</p>%newline%These minutes provide a written record of meetings held by the State Records Committee. The committee must meet at least once every three months and is responsible for reviewing and approving retention schedules and for hearing appeals regarding the denial of access to information by agencies.</p>%newline%&nbsp,</p>%newline%</p>%newline%,collection1629.jpg,371,277,January 2009 Minutes,,,,,,,,,,
1630,TRUE,,Hidden Water: A Survey of Salt Lake Valley (UT) Surface Water,University of Utah - J. Willard Marriott Library,</p>%newline%Hidden Water unveils surface water systems on the east side of Salt Lake Valley%comma% both culinary and irrigation. The web site follows the seven major streams of the Wasatch Front%comma% plus minor ones%comma% and tracks that water from headwaters to the Jordan River and then Great Salt Lake. It intermixes contemporary photographs with historical photographs from several archives showing earlier uses and diversions of water.</p>%newline%,collection1630.jpg,267,376,Fitts Park channel,,,,,,,,,,,
1631,FALSE,1631.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1632,FALSE,1632.php has been marked for review (Null partner) (Null image) (Null image description) (Null Article Text),#NAME?,,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1633,TRUE,,Western Waters: University of Utah Special Collections,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1633.jpg,320,256,Flaming Gorge Photo Set,,,,,,,,,,,
1634,TRUE,,University of Utah Marriott Library Permanent Art Collection,University of Utah - J. Willard Marriott Library,</p>%newline%Marriott Library's art collection includes a wide variety of mediums and genres.</p>%newline%,collection1634.jpg,375,245,Haile Selassie (portrait),,,,,,,,,,,
1635,TRUE,1635.php has been marked for review (Null image) (Null image description),Lennox and Catherine Tierney Photograph Collection,University of Utah - J. Willard Marriott Library,<p></p>%newline%<p></p>%newline%</p>,collection1635.jpg,,,Aerial view of the Mikata-goko (Mikata Five Lakes) region in the Japanese Alps,,,,,,,,,,,
1636,TRUE,,Tooele County (UT) Histories,Tooele (UT) City Library,</p>%newline%A chronological collection of Tooele (UT) area history between 1849 – 1890. Compiled by local historian George William Tripp.</p>%newline%,collection1636.jpg,419,286,Early Tooele A Documented Chronology,,,,,,,,,,,
1637,TRUE,,University of Utah Press Open Access Works,University of Utah - University Press,</p>%newline%The University of Utah Press is an agency of the J. Willard Marriott Library of The University of Utah. In accordance with the mission of the University%comma% the Press publishes and disseminates scholarly books in selected fields%comma% as well as other printed and recorded materials of significance to Utah%comma% the region%comma% the country%comma% and the world.</p>%newline%,collection1637.jpg,469,319,Foragers and Farmers of the Northern Kayenta Region,,,,,,,,,,,
1638,TRUE,,William D. Hurst Papers,Utah State University - Merrill-Cazier Library,<p></p>%newline%<p>U.S. Forester William Daly Hurst's distinguished service with the Forest Service spanned four decades (1937-1976) of changes in policies related to multiple use and resource conservation%comma% including the grazing permit controversy of 1957-1958. The William D. Hurst Digital Collection features Hurst's daily diaries%comma% files%comma% and calendars%comma% providing an in-depth look at his life and work in the Forest Service.</p>%newline%<p> Born in Parowan%comma% Utah%comma% on October 15%comma% 1915%comma% Hurst grew up in Panguitch%comma% Utah%comma% leaving in 1934 to attend Utah State Agricultural College in Logan%comma% Utah. While still earning his B.S. in Forestry there%comma% Hurst began his career with the Forest Service as an Administrative Guard for the Wasatch National Forest in 1937, he became the District Ranger for the Manila Ranger District%comma% Ashley National Forest in 1942. World War II Army service in Japan interrupted his forestry work from 1945 to 1946. After discharge he returned to the Forest Service as Staff Officer of the Cache National Forest%comma% a position he held until 1950 when he became Supervisor of the Ashley National Forest. </p>%newline%<p>In 1955%comma% Mr. Hurst left the beauty of northern Utah for Washington D.C. where he served as an Assistant Chief for Range Management. He returned two years later to Utah where he replaced Floyd Iverson as Chief of Range and Wildlife Management in Region 4 and subsequently was appointed Deputy Regional Forester for the Intermountain Region in 1962. In 1966%comma% Hurst became Regional Forester for the Southwestern Region%comma% remaining in this position until his retirement in 1976.</p>%newline%<p> Besides reading about Hurst's daily work via his written diaries%comma% files%comma% and calendars%comma% users of this collection can hear Hurst speak about his experiences in Logan Canyon and with the Forest Service through two oral history interviews recorded in 2008 and 2009. </p>%newline%</p>,collection1638.jpg,292,177,William D. Hurst day planner,,,,,,,,,,
1639,TRUE,,Taylor Woolley Photograph Collection,Department of Heritage and Arts,</p>%newline%This collection comprises 60 images taken by Utah architect%comma% Taylor Woolley. The majority of the images are at Frank Lloyd Wright's home%comma% Taliesin I%comma% c. 1911-1912. Woolley worked under Frank Lloyd Wright for a time%comma% traveling with him to Europe and later helping in the construction of Taliesin I in Spring Green%comma% Wisconsin. Woolley captured some unique images of the construction of Taliesin I%comma% both interior and exterior%comma% as well as images showing the intricate details of the home.</p>%newline%,collection1639.jpg,208,374,Office Gathering,,,,,,,,,,,
